season,week,player_name,defteam,3rd_down_stop,4th_down_stop,qb_hit,sack,tackle_for_loss,forced_fumble,drive_stopper_score,total_impact_plays
2025,10,J.Johnson,NYJ,0,0,1,1,2,0,8.0,4
2025,3,C.Chambliss,MIN,1,0,1,1,1,0,8.0,4
2025,7,J.Ward,TEN,1,0,1,1,1,0,8.0,4
2025,16,C.Rumph,NO,1,0,1,1,1,0,8.0,4
2025,16,C.Rozeboom,CAR,1,0,1,1,1,0,8.0,4
2025,17,B.Mafe,SEA,1,0,1,1,1,0,8.0,4
2025,17,B.Cashman,MIN,1,0,1,1,1,0,8.0,4
2025,14,E.Wilson,MIN,1,0,1,1,1,0,8.0,4
2025,14,J.Pearce,ATL,1,0,1,1,1,0,8.0,4
2025,4,N.Bonitto,DEN,1,0,1,1,1,0,8.0,4
2025,18,B.Cashman,MIN,1,0,1,1,1,0,8.0,4
2025,9,Ja.Phillips,MIA,1,0,1,1,1,0,8.0,4
2025,9,J.Cooper,DEN,1,0,1,1,1,0,8.0,4
2025,9,J.Campbell,DET,1,0,1,1,1,0,8.0,4
2025,10,K.Mack,LAC,1,0,1,1,1,0,8.0,4
2025,2,K.Mack,LAC,1,0,1,1,1,0,8.0,4
2025,18,A.Highsmith,PIT,0,0,1,1,2,0,8.0,4
2025,10,D.Thomas,SEA,2,0,0,0,2,0,8.0,4
2025,4,K.Chaisson,NE,1,0,1,1,1,0,8.0,4
2025,8,B.Burns,NYG,1,0,1,1,1,0,8.0,4
2025,7,N.Landman,LA,1,0,1,1,1,0,8.0,4
2025,4,Q.Walker,GB,3,0,0,0,1,0,8.0,4
2025,15,D.Gardeck,JAX,1,0,1,1,1,0,8.0,4
2025,15,N.Smith,PHI,1,0,1,1,1,0,8.0,4
2025,11,V.Miller,WAS,1,0,1,1,1,0,8.0,4
2025,15,P.Queen,PIT,2,0,0,0,2,0,8.0,4
2025,2,K.Chaisson,NE,1,0,1,1,1,0,8.0,4
2025,5,K.Van Noy,BAL,1,0,1,1,1,0,8.0,4
